Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Pengujian API reqres.in,,,,2023-04-07 05:19:54,2023-04-07 05:19:54,0.450s,ERROR
,,,,,,,
Test Cases/TC01 - Testing API Get List User,,Pengujian API Get List User,,2023-04-07 05:19:54,2023-04-07 05:19:54,0.004s,ERROR
"response = WS.sendRequest(findTestObject(""Request Object""))",,,,2023-04-07 05:19:54,2023-04-07 05:19:54,0.000s,ERROR
